latitude,longitude,name,species_code,scientific_name,common_name,height,diameter,information,location,island_abbv,island_name,base,tmk,circumference,id
21.96,-159.67,"20,141,097",ALSA,Albizia saman,Monkeypod,68,107,Beside Waimea Canyon Middle School,In Waimea in front of the historical Gulick-Towell home;TMK: 1-2-06-34,K,Kilauea,,12006034,28,1148
21.9,-159.47,"20,141,098",ALSA,Albizia saman,Monkeypod,44,86.8,Beside Yamamoto Store and Waikomo Stream.,In Koloa behind old Yamamoto Store next to river;TMK: 2-8-07-16,K,Kilauea,,28007016,22.7,1149
21.91,-159.46,"20,141,099",ALSA,Albizia saman,Monkeypod,39.5,61.1,,In Old Koloa Town;TMK: 2-8-004:053,K,Kilauea,,28004053,16,1150
21.91,-159.46,"20,141,100",ALSA,Albizia saman,Monkeypod,42,61.5,In school parking lot.,"In Old Koloa Town, Honpa Hongwanji Mission and Koloa Early School;TMK: 2-8-004:056",K,Kilauea,,28004056,16.1,1151
21.91,-159.46,"20,141,101",ALSA,Albizia saman,Monkeypod,40,57.3,,"In Old Koloa Town, Honpa Hongwanji Mission and Koloa Early School;TMK: 2-8-004:056",K,Kilauea,,28004056,15,1152
22.21,-159.41,"20,141,091",FIMA1,Ficus macrophylla,Moreton Bay Fig,37.5,70.3,North-side entrance.,The two trees flank the two entrances into Kilauea School; (1991)TMK: 5-2-09:6,K,Kilauea,,52009006,18.4,1143
22.21,-159.41,"20,141,092",FIMA1,Ficus macrophylla,Moreton Bay Fig,49,72.6,South-side entrance.,The two trees flank the two entrances into Kilauea School; (1991)TMK: 5-2-09:6,K,Kilauea,,52009006,19,1144
21.95,-159.42,"20,141,077",ARHE,Araucaria sp.,Norfolk Island Pine,122-171,36.7-53.5,Private Property. No accessible to the public. Enormous Trees.,Begins at the end of the Kipu County Road and extends 3/4 of a mile along the Kipu Ranch driveway;TMK: 3-1-03-1,K,Kilauea,,31003001,9.6-14,1124
22.2,-159.39,"20,141,084",DERE,Delonix regia,Royal Poinciana,N/A,N/A,Unable to locate due to the tree being on private property.,In Kilauea on the grounds of the Mary N. Lucas Trust Estate; (1991) TMK: 5-2-21:22,K,Kilauea,,52021002,N/A,1135
21.97,-159.66,"20,141,075",ALLE,Albizia lebbeck,Siris,47,82.2,Located just off of Gay Rd,In Waimea Valley on the Gay� Estate grounds at the end of Gay Road (also known as Oli Oli Road); TMK: 1-6-01-29,K,Kilauea,,16001029,21.5,1122
21.94,-159.47,"20,141,087",EURO,Eucalyptus robusta,Swamp Mahogany,51-78,25.6-37.8,"Makes up the well known ""Tree Tunnel"" along Maluhia Rd.",Along both sides of Maluhia Road extending 3/4 of a mile southward from Knudsen Gap;TMK: 2-7-02-1 and 2-8-01-5,K,Kilauea,,27002001,6.7-9.9,1138
21.96,-159.37,"20,141,102",TEGR,Tectona grandis,Teak,22-28,12.6-18.7,Three teaks in the garden along the center of the street.,"In Lihue, on Nokekula Circle, off Nawiliwili Road;",K,Kilauea,,36021999,3.3-4.9,1153
20.84,-156.92,"20,141,145",ARHE,Araucaria heterophylla,Norfolk Pine,168,81,Planted in 1875.,Ko'ele Golf Course,L,Lanai,,,21.2,1195
20.63,-156.38,"20,140,981",POSA11,Pouteria sandwicensis,'Ala'a,32,19.5,Planted in 1953,"D.T. Fleming Arboretum at Pu'u Mahoe, Kanaio",M,Maui,,221009017,5.6,1026
